        time         |   y    |   x    |  cell   |        rscp         
---------------------+--------+--------+---------+---------------------
 2004-10-21 00:00:00 | 471350 | 118870 | AMOBIA  |                -107
 2004-11-30 00:00:00 | 461540 | 101790 | AFRANKB | -80.599999999999994
 2004-11-30 00:00:00 | 461550 | 101780 | AFRANKB | -80.299999999999997
 2004-11-30 00:00:00 | 461690 | 101200 | ATIVOC  |               -81.5
 2004-11-30 00:00:00 | 461730 | 101150 | ATIVOC  |                 -76
 2004-11-30 00:00:00 | 461730 | 101170 | ATIVOC  | -77.200000000000003
 2004-11-30 00:00:00 | 461870 | 101240 | ATIVOB  | -57.100000000000001
 2004-11-30 00:00:00 | 461890 | 101260 | ATIVOB  | -51.100000000000001
 2004-11-30 00:00:00 | 461890 | 101520 | ADELOB  | -57.299999999999997
 2004-11-30 00:00:00 | 461900 | 101280 | ATIVOB  |               -49.5
 2004-11-30 00:00:00 | 461910 | 101430 | ATIVOB  | -54.899999999999999
 2004-11-30 00:00:00 | 461920 | 101190 | ATIVOB  | -49.200000000000003
 2004-11-30 00:00:00 | 461920 | 101300 | ATIVOB  | -47.899999999999999
 2004-11-30 00:00:00 | 461920 | 101480 | ATIVOB  | -62.100000000000001
 2004-11-30 00:00:00 | 461930 | 101480 | ATIVOB  | -62.700000000000003
 2004-11-30 00:00:00 | 461930 | 101490 | ATIVOB  |               -58.5
 2004-11-30 00:00:00 | 461940 | 101450 | ATIVOB  | -51.100000000000001
 2004-11-30 00:00:00 | 461970 | 101450 | ATIVOB  | -49.899999999999999
 2004-11-30 00:00:00 | 461970 | 101510 | ASLOMC  | -79.299999999999997
 2004-11-30 00:00:00 | 461980 | 101240 | ATIVOB  |                 -57
 2004-11-30 00:00:00 | 461990 | 101530 | ADELOB  | -89.599999999999994
 2004-11-30 00:00:00 | 462000 | 101380 | ATIVOB  | -53.600000000000001
 2004-11-30 00:00:00 | 462020 | 101570 | ADELOB  |                 -75
 2004-11-30 00:00:00 | 462030 | 101580 | ASLOMC  |               -74.5
 2004-11-30 00:00:00 | 462040 | 101500 | ADELOB  | -86.799999999999997
 2004-11-30 00:00:00 | 462050 | 101570 | ASLOMC  | -66.200000000000003
 2004-11-30 00:00:00 | 462180 | 101540 | ADELOB  |                 -61
 2004-11-30 00:00:00 | 462190 | 101230 | ATVSLOC |               -72.5
 2004-11-30 00:00:00 | 462190 | 101570 | ADELOB  |                 -58
 2004-11-30 00:00:00 | 462190 | 101650 | ADELOB  | -60.649999999999999
 2004-11-30 00:00:00 | 462200 | 101670 | ADELOB  | -59.399999999999999
 2004-11-30 00:00:00 | 462210 | 101320 | ATVSLOC | -80.799999999999997
 2004-11-30 00:00:00 | 462210 | 101690 | ADELOB  |                 -59
 2004-11-30 00:00:00 | 462210 | 101710 | ADELOB  | -57.700000000000003
 2004-11-30 00:00:00 | 462220 | 101710 | ADELOB  | -58.299999999999997
 2004-11-30 00:00:00 | 462220 | 101730 | ADELOB  | -58.299999999999997
 2004-11-30 00:00:00 | 462360 | 101490 | ASLOMC  |                 -41
 2004-11-30 00:00:00 | 462370 | 101520 | ASLOMC  | -72.950000000000003
 2004-11-30 00:00:00 | 462550 | 101490 | AMOBIB  | -77.799999999999997
 2004-11-30 00:00:00 | 462550 | 101500 | AMOBIB  | -79.900000000000006
 2004-11-30 00:00:00 | 462560 | 101510 | AMOBIB  | -74.900000000000006
 2004-11-30 00:00:00 | 462560 | 101520 | AMOBIB  | -76.599999999999994
 2004-11-30 00:00:00 | 462560 | 101530 | ASLOMA  | -79.200000000000003
