        time         |   y    |   x    |  cell   |        rscp         
---------------------+--------+--------+---------+---------------------
 2005-10-05 10:54:00 | 592000 | 153790 | SLJUTKB | -69.120000000000005
 2005-10-05 10:55:00 | 591990 | 153790 | SLJUTKB | -70.239999999999995
 2005-10-05 10:56:00 | 592000 | 153780 | SLJUTKB | -69.829999999999998
 2005-10-05 10:57:00 | 591890 | 154290 | SLJUTKB | -86.200000000000003
 2005-10-05 10:57:00 | 591900 | 154240 | SLJUTKB | -82.769999999999996
 2005-10-05 10:57:00 | 591910 | 154200 | SLJUTKB | -80.599999999999994
 2005-10-05 10:57:00 | 591920 | 154160 | SLJUTKB | -77.650000000000006
 2005-10-05 10:57:00 | 591930 | 154110 | SLJUTKB | -83.299999999999997
 2005-10-05 10:57:00 | 591930 | 154150 | SLJUTKB | -80.400000000000006
 2005-10-05 10:57:00 | 591940 | 154100 | SLJUTKB | -79.400000000000006
 2005-10-05 10:57:00 | 591950 | 154060 | SLJUTKB | -81.799999999999997
 2005-10-05 10:57:00 | 591960 | 153970 | SLJUTKB | -69.900000000000006
 2005-10-05 10:57:00 | 591980 | 153930 | SLJUTKB |               -78.5
 2005-10-05 10:57:00 | 591990 | 153890 | SLJUTKB | -71.549999999999997
 2005-10-05 10:57:00 | 592010 | 153850 | SLJUTKB | -66.700000000000003
 2005-10-05 10:57:00 | 592020 | 153810 | SLJUTKB | -69.200000000000003
 2005-10-05 10:57:00 | 592030 | 153750 | SLJUTKB | -74.329999999999998
 2005-10-05 10:57:00 | 592030 | 153760 | SLJUTKB | -72.629999999999995
 2005-10-05 10:58:00 | 591290 | 154710 | SLJUTKB | -97.599999999999994
 2005-10-05 10:58:00 | 591310 | 154700 | SLJUTKB | -90.099999999999994
 2005-10-05 10:58:00 | 591340 | 154680 | SLJUTKB | -91.200000000000003
 2005-10-05 10:58:00 | 591390 | 154660 | SLJUTKB |                 -94
 2005-10-05 10:58:00 | 591440 | 154640 | SLJUTKB |                 -93
 2005-10-05 10:58:00 | 591490 | 154610 | SLJUTKB |              -90.75
 2005-10-05 10:58:00 | 591550 | 154600 | SLJUTKB |                 -88
 2005-10-05 10:58:00 | 591590 | 154600 | SLJUTKB | -89.950000000000003
 2005-10-05 10:58:00 | 591610 | 154600 | SLJUTKB | -87.400000000000006
 2005-10-05 10:58:00 | 591650 | 154590 | SLJUTKB |                 -89
 2005-10-05 10:58:00 | 591690 | 154580 | SLJUTKB | -89.400000000000006
 2005-10-05 10:58:00 | 591740 | 154550 | SLJUTKB | -82.900000000000006
 2005-10-05 10:58:00 | 591770 | 154500 | SLJUTKB |               -88.5
 2005-10-05 10:58:00 | 591800 | 154480 | SLJUTKB | -86.200000000000003
 2005-10-05 10:58:00 | 591810 | 154470 | SLJUTKB |                 -89
 2005-10-05 10:58:00 | 591840 | 154430 | SLJUTKB | -82.200000000000003
 2005-10-05 10:58:00 | 591870 | 154380 | SLJUTKB |              -86.25
 2005-10-05 10:58:00 | 591880 | 154340 | SLJUTKB | -79.900000000000006
 2005-10-05 10:59:00 | 590580 | 155270 | SLJUTKB | -104.90000000000001
 2005-10-05 10:59:00 | 590610 | 155220 | SLJUTKB |              -104.5
 2005-10-05 10:59:00 | 590630 | 155180 | SLJUTKB | -101.90000000000001
 2005-10-05 10:59:00 | 590670 | 155140 | SLJUTKB | -105.90000000000001
 2005-10-05 10:59:00 | 590710 | 155120 | SLJUTKB |              -104.5
 2005-10-05 10:59:00 | 590730 | 155120 | SLJUTKB | -99.299999999999997
 2005-10-05 10:59:00 | 590770 | 155090 | SLJUTKB | -94.099999999999994
 2005-10-05 10:59:00 | 590820 | 155050 | SLJUTKB |                 -90
